"Pattern","Blue","Red","Yellow","Black","White","Orange","Pink","Green","Brown"
"ONNXNNNNN","0"," 4"," 6"," 0"," 6"," 4"," 4"," 4"," 4"
"XNNOXOXNO","0"," 1"," 1"," 0"," 0"," 0"," 0"," 1"," 0"
"NNOONNXNX","2"," 3"," 0"," 0"," 2"," 2"," 0"," 2"," 0"
"XXNOONNXO","0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"
"XNNNNXONO","0"," 2"," 2"," 2"," 2"," 0"," 0"," 2"," 0"
"ONNXNNOXN","0"," 2"," 2"," 0"," 2"," 2"," 0"," 0"," 2"
"XOXNNNOXO","0"," 0"," 0"," 0"," 1"," 1"," 0"," 0"," 0"
"XONNXOXON","0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 1"
"NXONXNNON","2"," 0"," 0"," 15"," 0"," 47"," 3"," 0"," 131"
"OONXNOXNX","0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"
"ONONXNNXN","0"," 2"," 0"," 2"," 0"," 0"," 0"," 0"," 2"
"ONNONXXNN","0"," 2"," 2"," 0"," 2"," 0"," 0"," 2"," 2"
"XXONOXNNO","0"," 0"," 0"," 1"," 0"," 0"," 46"," 3"," 0"
"NXNONOXOX","1"," 0"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"XNONOXNNN","0"," 3"," 0"," 2"," 0"," 0"," 4"," 3"," 2"
"NXNXNNOON","2"," 0"," 2"," 0"," 2"," 2"," 0"," 0"," 2"
"NNOXNXONN","2"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 0"
"OONXNXNOX","0"," 0"," 1"," 0"," 1"," 0"," 1"," 0"," 0"
"XONXNXONO","0"," 0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"
"NOOXXNNNN","2"," 0"," 0"," 0"," 0"," 2"," 2"," 2"," 2"
"NNNXXOOXO","1"," 1"," 3"," 0"," 0"," 0"," 0"," 0"," 0"
"NXNONOXNN","2"," 0"," 2"," 0"," 2"," 0"," 0"," 2"," 2"
"ONOONXNXX","0"," 1"," 0"," 0"," 1"," 0"," 1"," 0"," 0"
"XNOOXONXN","0"," 1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"
"XNOONNNNX","0"," 2"," 0"," 0"," 2"," 2"," 2"," 2"," 0"
"XNNONXOXO","0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"
"XXOONNNOX","0"," 0"," 0"," 0"," 1"," 2"," 1"," 0"," 0"
"NOXNOXNXO","3"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"XNNOXNNON","0"," 2"," 2"," 0"," 0"," 2"," 2"," 0"," 2"
"XNONOXNOX","0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"XNOOXNXNO","0"," 1"," 0"," 0"," 0"," 2"," 0"," 0"," 0"
"OONXNNNNX","0"," 0"," 2"," 0"," 2"," 2"," 2"," 2"," 0"
"NNXONONNX","0"," 2"," 0"," 0"," 2"," 0"," 2"," 0"," 0"
"ONXNXNOOX","0"," 1"," 0"," 3"," 0"," 1"," 0"," 0"," 0"
"NNOXNOOXX","1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"NNNONOXNX","0"," 2"," 2"," 0"," 2"," 0"," 0"," 2"," 0"
"XNXNNOXOO","0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"ONXXONNOX","0"," 1"," 0"," 0"," 0"," 1"," 1"," 0"," 0"
"ONNNNXNOX","0"," 2"," 2"," 2"," 2"," 0"," 2"," 0"," 0"
"OXNNXXONO","0"," 0"," 1"," 1"," 0"," 0"," 0"," 0"," 0"
"XXNNNNONO","0"," 0"," 2"," 2"," 2"," 2"," 0"," 2"," 0"
"ONNXNXOXO","0"," 1"," 1"," 0"," 1"," 0"," 0"," 0"," 0"
"OONXXNNXO","0"," 0"," 1"," 0"," 0"," 1"," 1"," 0"," 0"
"ONXNXNONN","0"," 2"," 0"," 126"," 0"," 2"," 0"," 2"," 2"
"NONXXONOX","1"," 0"," 1"," 0"," 0"," 0"," 1"," 0"," 0"
"OXONXNXON","0"," 0"," 0"," 18"," 0"," 68"," 0"," 0"," 161"
"NNOONXXOX","1"," 1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"
"NOOXNNNNX","2"," 0"," 0"," 0"," 2"," 2"," 2"," 2"," 0"
"NXNXOONOX","1"," 0"," 0"," 0"," 0"," 0"," 1"," 0"," 0"
"NXOXONXON","1"," 0"," 0"," 0"," 0"," 2"," 0"," 0"," 3"
"XNOXNNONN","0"," 2"," 0"," 0"," 2"," 2"," 0"," 2"," 2"
"NXNNOXNON","3"," 0"," 2"," 2"," 0"," 0"," 2"," 0"," 2"
"NNXNOOXOX","1"," 0"," 0"," 1"," 0"," 0"," 0"," 0"," 0"
"NXONOXNXO","0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"NXOONOXNX","1"," 0"," 0"," 0"," 1"," 0"," 0"," 1"," 0"
"NNOXNXNNO","2"," 2"," 0"," 0"," 2"," 0"," 0"," 0"," 0"
"XXNONONNN","0"," 0"," 2"," 0"," 2"," 0"," 2"," 2"," 2"
"NNNXNXNOO","2"," 2"," 2"," 0"," 2"," 0"," 2"," 0"," 0"
"NXOOXNXNO","1"," 0"," 0"," 0"," 0"," 1"," 0"," 1"," 0"
"NXNOXNXOO","2"," 0"," 1"," 0"," 0"," 1"," 0"," 0"," 0"
"ONONXXNXO","0"," 1"," 0"," 1"," 0"," 0"," 1"," 0"," 0"
"XOXNOONXN","0"," 0"," 0"," 43"," 0"," 0"," 1"," 0"," 1"
"NNNNONXNN","0"," 0"," 4"," 14"," 0"," 7"," 0"," 0"," 47"
